 TOTAL,AMOUNT,DATE,DATE OF EVENT,DESCRIPTION,DISCOUNT,DONATION,ESTIMATE TOTAL,ESTIMATED HOURS,ESTIMATED TOTAL,HOURS,HOURS/UNITS,OCCURANCE,SUBTOTAL,TOTAL,rate,sheet
,,2014-05-28,,Security,,,,,,,,,,0,Full Time Member Weekday Rate,2062 John Pomeroy
,,2014-05-28,,Total,,,,,,,,,,157.5,Full Time Member Weekday Rate,2062 John Pomeroy
,255,,2015-05-29,On Broadway,0.1,,,,,,2.5,,637.5,573.75,Part Time Member Weekend Rate - Full day & Multi room discount,515006 CODE2040
,75,,2015-05-29,Set Up & Reset ,,,,,,,2,,150,150,Part Time Member Weekend Rate - Full day & Multi room discount,515006 CODE2040
,30,,2015-05-29,IHO Staffing,,,,,,,4.5,,135,135,Part Time Member Weekend Rate - Full day & Multi room discount,515006 CODE2040
,300,,2015-05-29,Janitorial/Waste Removal Fee ,,,,,,,Flat Fee,,300,300,Part Time Member Weekend Rate - Full day & Multi room discount,515006 CODE2040
,,,2015-05-29,Additional Services As Needed,,,,,,,,,,,Part Time Member Weekend Rate - Full day & Multi room discount,515006 CODE2040
,,,2015-05-29,Speciality A/V Sound Technician ,,,,,,,,,,0,Part Time Member Weekend Rate - Full day & Multi room discount,515006 CODE2040
,,,2015-05-29,Coffee Service ,,,,,,,,,,,Part Time Member Weekend Rate - Full day & Multi room discount,515006 CODE2040
,,,2015-05-29,Compostable Dishware & Silverware,,,,,,,,,,,Part Time Member Weekend Rate - Full day & Multi room discount,515006 CODE2040
,,,2015-05-29,Security (Outsourced upon request),,,,,,,,,,,Part Time Member Weekend Rate - Full day & Multi room discount,515006 CODE2040
,,,2015-05-29,Early Set Up Fee,,,,,,,,,,,Part Time Member Weekend Rate - Full day & Multi room discount,515006 CODE2040
