invoice,DATE,#rooms,HOURS,SUBTOTAL,TOTAL,DISCOUNT,invoice_date,membership_level,discount_type,day_type,day_dur,rooms
2146,2014-10-06,  1.00,  2.50,112.50,112.50,  0.00,2014-09-19,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2145,2014-09-29,  1.00,  2.50,112.50,112.50,  0.00,2014-09-19,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2144,"March. 13 - March 15, 2014",  1.00, 14.00,630.00,504.00,  0.20,2014-09-19,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,M
2143,"Feb. 20 - Feb. 22, 2014",  1.00, 21.00,966.00,772.80,  0.20,2014-09-19,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,M
2143,"Feb. 1, 2014",  1.00,  7.00,315.00,252.00,  0.20,2014-09-19,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,M
2142,"Jan. 9 - Jan. 11, 2014",  1.00, 21.00,945.00,756.00,  0.20,2014-09-19,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,M
2142,"Jan. 30 - Jan. 31, 2014",  1.00, 14.00,644.00,515.20,  0.20,2014-09-19,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,M
2141,"Dec. 12 - Dec.14, 2014",  1.00, 14.00,630.00,504.00,  0.20,2014-09-19,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,M
2140,"Nov. 21 - Nov. 23, 2014",  1.00, 14.00,630.00,504.00,  0.20,2014-09-19,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,M
2140,"Nov. 1 - Nov. 2, 2014",  1.00, 11.00,495.00,396.00,  0.20,2014-09-19,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,M
2139,"Oct.10-Oct.12, 2014",  1.00, 14.00,630.00,504.00,  0.20,2014-09-19,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,M
2139,"Oct. 31, 2014",  1.00,  4.00,180.00,144.00,  0.20,2014-09-19,FULL_TIME,MULTI_DAY,WEEKDAY,PARTIAL_DAY,M
2138,2014-09-24,  1.00,  2.50,232.50,232.50,  0.00,2014-09-17,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,O
2137,2014-10-24,  1.00,  2.00,470.00,470.00,  0.00,2014-09-12,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY,D
