day_type,day_dur,discount_type,membership_level,ROOM,AMOUNT,EFF_RATE
WEEKEND,FULL_DAY,NO_DISCOUNT,FULL_TIME,DOWNTOWN,40.00,40.00
WEEKEND,FULL_DAY,NO_DISCOUNT,FULL_TIME,UPTOWN,,
WEEKEND,FULL_DAY,NO_DISCOUNT,FULL_TIME,MERIDIAN,75.00,75.00
WEEKEND,FULL_DAY,NO_DISCOUNT,FULL_TIME,OMI,,
WEEKEND,FULL_DAY,NO_DISCOUNT,FULL_TIME,JINGLETOWN,105.00, 0.00
WEEKEND,FULL_DAY,NO_DISCOUNT,FULL_TIME,ATRIUM,130.00,130.00
WEEKEND,FULL_DAY,NO_DISCOUNT,FULL_TIME,BROADWAY,188.86,188.86
WEEKEND,FULL_DAY,NO_DISCOUNT,unknown,EAST_OAK,,
WEEKEND,FULL_DAY,NO_DISCOUNT,unknown,WEST_OAK,,
WEEKEND,FULL_DAY,NO_DISCOUNT,unknown,DOWNTOWN,25.00,25.00
WEEKEND,FULL_DAY,NO_DISCOUNT,unknown,UPTOWN,,
WEEKEND,FULL_DAY,NO_DISCOUNT,unknown,MERIDIAN, 0.00, 0.00
WEEKEND,FULL_DAY,NO_DISCOUNT,unknown,OMI,51.25,51.25
WEEKEND,FULL_DAY,NO_DISCOUNT,unknown,JINGLETOWN,57.50,57.50
WEEKEND,FULL_DAY,NO_DISCOUNT,unknown,ATRIUM,110.00,110.00
WEEKEND,FULL_DAY,NO_DISCOUNT,unknown,BROADWAY,184.17,184.17
